技能名,属性,类型,威力,耗能,效果描述,,
散手,武系,物攻,30,3,造成物伤，2连击，应对状态：本技能改为6连击。,,
斩断,武系,物攻,70,2,造成物伤，应对状态：额外打断被应对技能。,,
无影脚,武系,物攻,75,3,造成物伤，应对状态：本次技能威力变为2倍。,,
爆冲,武系,物攻,50,3,造成物伤，应对状态：本次技能威力变为5倍。,,
缠丝劲,武系,物攻,25,1,造成物伤，2连击。,,
听桥,武系,防御,0,4,减伤60%，应对攻击：对敌方造成伤害，威力与被应对技能相等。,,
硬门,武系,防御,0,2,应对攻击：打断被应对技能，并造成75威力物伤。,,
防御反击,武系,防御,0,3,减伤70%，应对攻击：获得全技能威力+20。,,
叠势,武系,魔攻,25,3,造成魔伤，2连击，每成功应对1次，本技能连击数永久+2。,,
气波,武系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
贯手,武系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
以毒攻毒,毒系,变化,0,1,敌方每有1层中毒效果，自己获得魔攻+30%。,,
剧毒,毒系,变化,0,2,敌方获得3层中毒，应对防御：改为获得8层。,,
毒孢子,毒系,变化,0,3,敌方获得5层中毒。,,
毒雾,毒系,变化,0,7,将敌方所有增益，转化成中毒。,,
疫病吐息,毒系,变化,0,3,敌方获得1层中毒印记。,,中毒印记：回合结束造成3%生命的毒系伤害，可叠加。
腐化,毒系,变化,0,1,敌方每有1层中毒效果，敌方获得双攻-30%。,,
落井下毒,毒系,变化,0,6,使敌方精灵减益的层数翻倍。,,
毒囊,毒系,物攻,20,2,造成物伤，敌方获得2层中毒，应对状态：改为获得6层。,,
毒沼,毒系,物攻,80,2,对敌方精灵造成物理伤害。,,
毒针,毒系,物攻,20,0,造成物伤，敌方获得1层中毒。,,
溃烂触碰,毒系,物攻,60,1,对敌方精灵造成物理伤害。,,
连续毒针,毒系,物攻,15,2,造成物伤，2连击，每次连击使敌方获得1层中毒。,,
不可接触,毒系,防御,0,1,减伤50%，敌方每有1层中毒效果，本技能减伤+10%，应对攻击。,,
感染病,毒系,魔攻,85,4,造成魔伤，若击败敌方则将中毒转化为印记。,,
毒泡泡,毒系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
毒液渗透,毒系,魔攻,120,5,造成魔伤，敌方每有1层中毒效果，本技能能耗-1，敌方获得1层中毒。,,
瘴气喷射,毒系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
腐蚀酸液,毒系,魔攻,35,2,造成魔伤，敌方获得2层中毒。,,
鸩毒,毒系,魔攻,75,3,造成魔伤，敌方每有1层中毒效果，本次技能威力+10，应对状态：改为本次威力+20。,,
打湿,水系,变化,0,4,自己获得1层湿润印记。湿润印记：全技能能耗-1，可叠加。,,
洗礼,水系,变化,0,1,驱散自己的减益，并获得全技能能耗-1。,,
润泽,水系,变化,0,7,自己获得魔攻+190%。,,
盐水浴,水系,变化,0,1,自己获得全技能能耗-2，应对防御：改为技能能耗-3。,,
落雨,水系,变化,0,8,将天气改为雨天。本技能受能耗降低效果的影响翻倍。,,
蓄水,水系,变化,0,1,下次使用的技能能耗-6。,,
水刃,水系,物攻,115,4,造成物伤，应对状态：本技能能耗永久-4。,,
水幕冲击,水系,物攻,100,3,对敌方精灵造成物理伤害。,,
泡沫,水系,物攻,60,1,对敌方精灵造成物理伤害。,,
潮涌,水系,物攻,80,2,对敌方精灵造成物理伤害。,,
水泡盾,水系,防御,0,2,减伤70%，应对攻击：自己获得魔攻+40%。,,
水环,水系,防御,0,2,减伤70%，应对攻击：自己获得全技能能耗-2。,,
泡沫幻影,水系,防御,0,2,减伤70%，应对攻击：自己脱离。,,
潮汐,水系,防御,0,4,减伤60%，应对攻击：自己获得1层湿润印记。湿润印记：全技能能耗-1，可叠加。,,
天洪,水系,魔攻,150,7,造成魔伤，应对状态：本技能能耗永久-6。,,
气泡,水系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
水光冲击,水系,魔攻,140,5,对敌方精灵造成魔法伤害。,,
水弹,水系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
水弹枪,水系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
水星水,水系,魔攻,0,3,造成魔伤，应对状态：本次伤害不受自身属性减益和敌方属性增益影响,,
水波术,水系,魔攻,90,6,造成魔伤，回合结束时，本技能威力永久+20。,,
水炮,水系,魔攻,110,5,造成魔伤，每次使用后，本技能能耗永久-1。,,
水花四溅,水系,魔攻,20,3,造成魔伤，4连击。,,
涌泉,水系,魔攻,60,6,造成魔伤，本技能能耗每-1，威力+10。,,
激流,水系,魔攻,120,4,对敌方精灵造成魔法伤害。,,
甩水,水系,魔攻,30,0,造成魔伤，自己回复1能量。,,
肥皂泡,水系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
充分燃烧,火系,变化,0,3,使敌方身上的灼烧翻倍，并触发1次灼烧伤害。,,
天火,火系,变化,0,3,敌方获得10层灼烧，应对防御：改为获得30层。,,
引燃,火系,变化,0,2,敌方获得10层灼烧。,,
怒火,火系,变化,0,1,自己获得双攻+130%和双防-40%。,,
热身,火系,变化,0,1,下一次攻击技能威力翻倍，应对防御：改为威力变为3倍。,,
焚烧烙印,火系,变化,0,3,驱散双方所有印记，每驱散1层，敌方获得5层灼烧。,,
双响炮,火系,物攻,25,1,造成物伤，2连击。,,
吹火,火系,物攻,50,1,造成物伤，每次使用后，本技能威力永久+20。,,
山火,火系,物攻,15,3,造成物伤，每使用1次其他火系技能，本技能威力永久翻倍。,,
流星火雨,火系,物攻,75,3,造成物伤，每次击败敌方，本技能威力永久+75。,,
火云车,火系,物攻,140,5,对敌方精灵造成物理伤害。,,
火焰冲锋,火系,物攻,60,1,对敌方精灵造成物理伤害。,,
火焰切割,火系,物攻,100,3,对敌方精灵造成物理伤害。,,
火焰箭,火系,物攻,80,2,对敌方精灵造成物理伤害。,,
火苗,火系,物攻,30,0,造成物伤，自己回复1能量。,,
灼伤,火系,物攻,120,4,对敌方精灵造成物理伤害。,,
炎息,火系,物攻,40,0,对敌方精灵造成物理伤害。,,
闪燃,火系,物攻,35,1,造成物伤，应对状态：本次技能威力变为4倍。,,
淬火,火系,防御,0,4,减伤70%，应对攻击：下次攻击技能威力翻倍。,,
火焰护盾,火系,防御,0,2,减伤70%，应对攻击：敌方获得4层灼烧。,,
持续高温,火系,魔攻,85,3,造成魔伤，应对状态：下次攻击技能威力翻倍。,,
易燃物质,火系,魔攻,30,3,造成魔伤，2连击，每次连击使敌方获得2层灼烧。,,
流火,火系,魔攻,15,1,造成魔伤，3连击。,,
火爪,火系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
炎打,火系,魔攻,100,2,造成高额魔法伤害，自己获得物防-40%。,,
炎枪,火系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
炙热波动,火系,魔攻,45,3,造成魔伤，敌方获得4层灼烧，应对状态：本次技能威力和赋予灼烧翻倍。,,
烈焰风暴,火系,魔攻,75,4,造成魔伤，敌方获得6层灼烧。,,
热气,火系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
焚毁,火系,魔攻,60,2,造成魔伤，驱散敌方所有印记。,,
燃尽,火系,魔攻,155,4,造成魔伤，敌方每失去5%生命，本次技能威力-5。,,
爆裂飞弹,火系,魔攻,160,7,对敌方精灵造成魔法伤害。,,
阳火增辉,火系,魔攻,75,3,造成魔伤，每次击败敌方，本技能威力永久翻倍。,,
除厄,火系,魔攻,60,2,造成魔伤，驱散自己的增益。,,
高温回火,火系,魔攻,40,2,造成魔伤，自己脱离。,,
加大功率,电系,变化,0,4,自己脱离，被替换入场的精灵回复8能量。,,
增程电池,电系,变化,0,2,自己获得1层蓄电印记。蓄电印记：攻击技能获得进发：本次威力+10。可叠加。,,
电离爆破,电系,变化,0,3,敌方获得速度-40，3连击。,,
过载回路,电系,变化,0,1,自己返场，下回合所选技能使用次数+1。,,
远程访问,电系,变化,0,2,使敌方精灵返场。,,
麻痹,电系,变化,0,2,敌方先手-1，应对防御：额外使敌方获得攻击-70%。,,
交叉闪电,电系,物攻,100,3,对敌方精灵造成物理伤害。,,
导电撞击,电系,物攻,40,0,对敌方精灵造成物理伤害。,,
球状闪电,电系,物攻,60,1,对敌方精灵造成物理伤害。,,
电弧,电系,物攻,80,3,造成物伤，迸发：本次技能威力+40。,,
离子火花,电系,物攻,80,2,对敌方精灵造成物理伤害。,,
闪击折返,电系,物攻,45,5,造成物伤，2连击，自己脱离。,,
电磁偏转,电系,防御,0,3,减伤60%，应对攻击：下回合所选技能使用次数+1。,,
集中,电系,防御,0,2,减伤70%，应对攻击：自己回合结束返场。,,
双联脉冲,电系,魔攻,50,4,造成魔伤，迸发：本技能使用次数+1。,,
引雷,电系,魔攻,35,3,造成魔伤，2连击，迸发：本次技能威力+15。,,
强制重启,电系,魔攻,80,3,造成魔伤，应对状态：回合结束时使敌方精灵返场。,,
感电,电系,魔攻,60,2,造成魔伤，每离场1次，本技能使用次数永久+1。,,
电流,电系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
磁干扰,电系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
落雷,电系,魔攻,100,4,造成魔伤，每次入场，本技能威力永久+20。,,
触电,电系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
超导,电系,魔攻,95,3,造成魔伤，迸发：本技能能耗-1。,,
超导加速,电系,魔攻,60,2,造成魔伤，自己获得速度+30。,,
雷暴,电系,魔攻,80,5,造成魔伤，迸发：本技能获得所有生效过的迸发效果。,,
乘风,翼系,变化,0,2,自己获得速度+120。,,
暴风眼,翼系,变化,0,2,行动时连击数+100%。,,
疾风连袭,翼系,变化,0,0,释放自己释放过的迅捷技能，其能耗之和的二分之一加至本技能能耗，每次使用后能耗+1,,
羽化加速,翼系,变化,0,2,自己获得技能威力+20，迅捷。,,
风起,翼系,变化,0,4,自己获得1层风起印记。风起印记：先手攻击时，本次技能威力+20%。可叠加。,,
风隐,翼系,变化,0,2,敌方和自己均脱离。先手-1。,,
飞羽,翼系,变化,0,0,迅捷，驱散敌方1种增益。,,
俯冲猛击,翼系,物攻,140,5,对敌方精灵造成物理伤害。,,
啄击,翼系,物攻,15,0,造成物伤，2连击。,,
扇风,翼系,物攻,70,3,造成物伤，若先于敌方攻击，本次技能威力+50%。,,
疾风刺,翼系,物攻,25,2,造成物伤，1连击，若先于敌方攻击，本次攻击改为3连击。,,
疾风涡轮,翼系,物攻,115,7,造成物伤，先手+1。,,
羽刃,翼系,物攻,70,2,造成物伤，应对状态：回合结束使敌方紧急脱离。,,
闪击,翼系,物攻,60,4,造成物伤，速度比敌方越高，本次技能威力越高。,,
风矢,翼系,物攻,80,2,对敌方精灵造成物理伤害。,,
鹰爪,翼系,物攻,60,1,对敌方精灵造成物理伤害。,,
龙卷风,翼系,物攻,60,5,造成物伤，迅捷，应对状态：本次技能威力变为1.5倍。,,
羽翼庇护,翼系,防御,0,3,减伤70%，应对攻击：自己获得连击数+3。,,
风墙,翼系,防御,0,2,减伤50%，迅捷，应对攻击。,,
回旋风暴,翼系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
翼击,翼系,魔攻,50,3,造成魔伤，迅捷。,,
鸣叫,翼系,魔攻,40,0,对敌方精灵造成魔法伤害。,,
丰饶,草系,变化,0,3,自己获得物攻和魔攻+130%。,,
光合作用,草系,变化,0,4,自己获得1层光合印记。光合印记：回合结束时获得1能量。可叠加。,,
孢子,草系,变化,0,3,敌方获得1层寄生。,,
富养化,草系,变化,0,3,为场下每个精灵回复3能量。,,
徒长,草系,变化,0,2,自己回复10能量。,,
根吸收,草系,变化,0,2,自己回复15%生命和4能量。,,
氧输送,草系,变化,0,2,自己回复4能量，并获得魔攻+80%。,,
盛开,草系,变化,0,1,自己获得技能威力+30，应对防御：改为威力+70。,,
移花接木,草系,变化,0,2,自己回复15%生命，随后脱离。,,
聚盐,草系,变化,0,3,2连击，每次连击自己回复5%生命和1能量，使用后本技能连击数永久+1。,,
花炮,草系,变化,0,2,2连击，每次连击自己获得魔攻+50%。,,
芳香诱引,草系,变化,0,1,自己获得连击数+2，应对防御：额外造成打断，并眩晕敌方1回合。,,
仙人掌刺击,草系,物攻,150,6,对敌方精灵造成物理伤害。,,
刺藤,草系,物攻,45,3,造成物伤，2连击。,,
孢子爆散,草系,物攻,30,3,造成物伤，1连击，每次使用后，本技能连击数永久+2。,,
抽枝,草系,物攻,85,4,造成物伤，应对状态：自己回复50%生命和5能量。,,
种子弹,草系,物攻,30,0,造成物伤，自己回复1能量。,,
种皮爆裂,草系,物攻,25,1,造成物伤，2连击。,,
筛管奔流,草系,物攻,80,3,造成物伤，自己生命大于80%时，本次技能威力+75。,,
荆棘爪,草系,物攻,80,2,对敌方精灵造成物理伤害。,,
藤绞,草系,物攻,80,4,造成物伤，自己回复5能量。,,
顶端优势,草系,物攻,100,3,对敌方精灵造成物理伤害。,,
飞叶,草系,物攻,40,0,对敌方精灵造成物理伤害。,,
纤维化,草系,防御,0,2,减伤70%，应对攻击：自己获得物防+40%。,,
蜡质膜,草系,防御,0,2,减伤70%，应对攻击：回复3能量。,,
酶浓度调整,草系,防御,0,3,减伤70%，应对攻击：自己回复20%生命。,,
光能聚集,草系,魔攻,100,7,造成魔伤，每次使用其他草系技能后，本技能威力永久+60。,,
叶绿光束,草系,魔攻,120,4,对敌方精灵造成魔法伤害。,,
棘突,草系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
汲取,草系,魔攻,30,1,造成魔伤，并吸血100%。,,
花香,草系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
击鼓传花,萌系,变化,0,3,自己脱离，下个入场精灵继承自己增益。,,
反弹,萌系,变化,0,5,将自己的萌化转移给敌方。,,
甜心续航,萌系,变化,0,3,自己和敌方获得萌化：回复40%生命和4能量。,,
生日蛋糕,萌系,变化,0,2,自己获得萌化：全技能能耗永久-4。,,
示弱,萌系,变化,0,1,自己获得萌化：速度永久+150。,,
赤子之心,萌系,变化,0,6,场下每个精灵获得萌化，之后回复40%生命和4能量。,,
月光合奏,萌系,物攻,30,3,造成物伤，2连击，自己每有1层萌化，本次技能连击数+100%。,,
爆米花爆破,萌系,物攻,140,5,对敌方精灵造成物理伤害。,,
砂糖弹球,萌系,物攻,0,2,造成物伤，双方体重差越大，本次技能威力越高。,,
碰爪,萌系,物攻,60,1,对敌方精灵造成物理伤害。,,
超级糖果,萌系,物攻,100,3,造成物伤，自己获得萌化：本次技能威力+60。,,
鞭打,萌系,物攻,40,0,对敌方精灵造成物理伤害。,,
捧杀,萌系,防御,0,4,减伤70%，应对攻击：敌方获得1层萌化。,,
撒娇,萌系,魔攻,30,3,造成魔伤，3连击，获得萌化：威力永久+20。,,
破罐破摔,萌系,魔攻,80,3,造成魔伤，自己有增益时，本次技能威力+60。,,
飞吻,萌系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
魅惑,萌系,魔攻,60,1,对敌方精灵造成魔法伤害。,,
假寐,虫系,变化,0,2,自己回复2能量，获得1次奉献：能耗-2。,,
束缚,虫系,变化,0,2,敌方获得2层中毒，获得1次奉献：敌方获得2层中毒。,,
虫群智慧,虫系,变化,0,3,获得2次随机奉献。,,
虫茧,虫系,变化,0,1,自己回复20%生命，获得1次奉献：获得10%吸血。,,
贮藏,虫系,变化,0,2,自己获得双攻+50%，每携带1个0能耗技能，额外+50%。,,
食腐,虫系,变化,0,2,驱散敌方印记，每层印记回复自己10%生命。,,
啃咬,虫系,物攻,40,0,造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。,,
噬心,虫系,物攻,60,1,对敌方精灵造成物理伤害。,,
尾后针,虫系,物攻,80,2,对敌方精灵造成物理伤害。,,
网缚,虫系,物攻,60,2,造成物伤，敌方获得物防-30%,,
翅刃,虫系,物攻,90,4,造成物伤，驱散敌方所有印记，应对状态：改为偷取印记。,,
虫击,虫系,物攻,90,3,造成物伤，应对状态：本次技能威力变为2倍，无视敌方系别抵抗。,,
虫群,虫系,物攻,20,7,造成物伤，1连击，本技能会受奉献影响。,,
虫群过境,虫系,物攻,45,5,造成物伤，2连击。获得1次奉献：获得连击数+1。,,
蛰针,虫系,物攻,40,0,对敌方精灵造成物理伤害。,,
飞断,虫系,物攻,20,1,造成物伤，获得1次奉献：威力+20。,,
掩护,虫系,防御,0,2,减伤70%，紧急脱离，应对攻击：下个入场精灵获得减伤。,,
虫结阵,虫系,防御,0,2,减伤60%，应对攻击：获得1次随机奉献。,,
虫刺,虫系,魔攻,15,1,造成魔伤，3连击。,,
虫网,虫系,魔攻,30,0,造成魔伤，自己回复1能量。,,
虫蛊,虫系,魔攻,100,3,对敌方精灵造成魔法伤害。,,
虫鸣,虫系,魔攻,15,2,造成魔伤，队伍中每有1只带有本技能的精灵，本次技能连击数+1。,,
架势,龙系,变化,0,2,自己回复20%生命，下次技能无需蓄力。,,
龙吟,龙系,变化,0,3,蓄力，自己获得双攻+100%和速度+60。,,
龙威,龙系,变化,0,3,自己获得1层龙噬印记。龙噬印记：释放3能耗技能时，获得双攻+30%，可叠加。,,
吹炎,龙系,物攻,150,3,蓄力，造成物伤，应对状态：本次技能威力翻倍。,,
隼鳞,龙系,物攻,140,5,对敌方精灵造成物理伤害。,,
龙之利爪,龙系,物攻,130,3,蓄力，造成物伤并吸血50%。,,
龙吼,龙系,物攻,60,1,对敌方精灵造成物理伤害。,,
龙炮,龙系,物攻,100,3,对敌方精灵造成物理伤害。,,
龙爪,龙系,物攻,120,4,对敌方精灵造成物理伤害。,,
龙血,龙系,防御,0,2,减伤70%，本技能可以在蓄力状态下使用，应对攻击：下次技能无需蓄力。,,
升龙咆哮,龙系,魔攻,200,3,蓄力，对敌方造成魔法伤害。,,
怨力打击,龙系,魔攻,1,3,蓄力，造成蓄力期间受到攻击伤害的3倍。,,
绵里藏针,龙系,魔攻,50,2,造成魔伤，若敌方上回合没受到技能伤害，本技能威力永久+30。,,
角击,龙系,魔攻,80,2,对敌方精灵造成魔法伤害。,,
龙息环爆,龙系,魔攻,50,1,造成魔伤，应对状态：下次技能无需蓄力。,,
三鼓作气,普通系,变化,0,3,获得物攻+30%，3连击。,,
冰刺,冰系,物攻,85,3,造成物伤，应对状态：敌方2回合无法换宠。,,
冰荆棘,冰系,防御,0,2,减伤70%，应对攻击：敌方冻结层数翻倍。,,
堆雪人,冰系,魔攻,60,2,造成魔伤，敌方获得魔防-20%。,,
小偷小摸,幽系,变化,0,1,偷取敌方3能量。,,
幼态延续,萌系,魔攻,90,4,造成魔伤，自身拥有萌化时威力+60。,,
指指点点,普通系,物攻,5,10,造成物伤，10连击。,,
捆缚,虫系,变化,0,2,敌方获得2层中毒，获得1次奉献：敌方获得2层中毒。,,
极速冷冻,冰系,变化,0,2,敌方获得全技能能耗+2，应对防御：能耗+4。,,
柔弱,萌系,变化,0,1,获得萌化，敌方获得物攻-70%，敌方获得物防-70%。,,
横纵斩,恶系,魔攻,25,2,造成魔伤，2连击。,,
求雨,水系,变化,0,8,将天气变为雨天，本技能能耗降低效果收益翻倍。,,
炎爆术,火系,变化,0,2,将敌方印记转换为三倍的灼烧层数。,,
玩具乐园,萌系,变化,0,7,自身及背包里的精灵获得萌化，并提升30%攻防，速度+20。,,
碎冰击,冰系,物攻,90,4,造成物伤，敌方获得全技能能耗+1。,,
缓冻,冰系,魔攻,85,3,造成物伤，敌方速度-10。,,
羽毛舞,翼系,变化,0,2,迅捷，驱散敌方一种增益。,,
藤鞭,草系,物攻,35,3,造成物伤，2连击。,,
逆向演化,萌系,变化,0,1,解除萌化，每层萌化会给敌方赋予一层萌化。,,
风吹雪,冰系,魔攻,30,0,造成魔伤，自己回复1能量。,,
俯冲,翼,物攻,170,7,造成物伤，先手+1。,,
假冒,恶,状态,0,2,自己的生命比例变为与敌方生命比例相同，巧变：恶系攻击技能。,,
入梦,幽,状态,0,1,敌方下回合回复的能量-5，冷却2回合。,,
减压阀,机械,状态,0,1,主动：本技能被动永久额外+20威力，被动：两侧技能威力+10，传动1。,,
加油,萌,状态,0,2,自己获得1层萌芽印记。,,
叠加态,幻,状态,0,1,自己获得随机16层属性增益，巧变：幻系攻击技能。,,
同频,普通,魔攻,125,3,造成魔法伤害，巧变：魔攻技能。,,
回旋踢,武,物攻,80,3,造成物伤，若敌方本回合更换精灵，本次技能威力翻倍。,,
守护咒,龙,防御,0,1,减伤90%，应对攻击。巧变：龙系状态技能。,,
微型斥候,机械,魔攻,75,3,造成魔伤，自己每受到一次抵抗伤害，本技能威力永久+20。,,
排气,机械,状态,0,2,敌方获得全技能威力-20，若自己受到抵抗伤害，敌方额外获得全技能威力-20，使用后重置,,
撞鬼,幽,物攻,120,4,对敌方精灵造成物理伤害。,,
杂耍,恶,魔攻,115,3,造成魔伤，巧变：吸血相关技能。,,
清洗,水,状态,0,0,驱散自己的减益，自己每有1层减益，本技能能耗-1，巧变：水系攻击技能。,,
焚尽,火,状态,0,1,驱散自己所有印记，每驱散1层，获得物攻+50%。巧变：火系攻击技能。,,
相位移动,机械,防御,0,1,减伤50%，本技能位于1号位或3号位时，额外减伤40%，应对攻击，传动1。,,
砂石冲撞,地,物攻,80,3,造成物伤，若敌方本回合更换精灵，自己获得物防+100%。,,
色散,光,魔攻,80,3,造成魔伤，对混血精灵造成伤害+50%。,,
草虫冲击,虫,物攻,80,3,造成物伤，若敌方本回合更换精灵，本次威力+50且无视敌方系别抵抗。,,
踏雷,电,状态,0,2,自己回合结束时返场，携带的攻击技能下回合获得1个已触发过的进发效果，应对防御：改为获得所有触发过的迸发效果。,,
针刺射击,草,物攻,80,3,造成物伤，若敌方本回合更换精灵，自己回复7点能量。,,
